CodMun,area_territorial
2211407,"236,453"
2211506,"341,974"
2211605,"221,627"
2211704,"270,427"
2300101,"180,833"
2300150,"130,002"
2300200,"842,471"
2300309,"2254,279"
2300408,"2438,563"
2300507,"135,76"
2300606,"72,675"
2300705,"1345,701"
2300754,"1175,044"
2300804,"259,706"
2300903,"543,98"
2301000,"480,236"
2301109,"1227,197"
2301208,"643,988"
2301257,"342,301"
2301307,"1097,339"
2301406,"119,758"
2301505,"1068,437"
2301604,"1155,124"
2301703,"885,87"
2301802,"145,556"
2301851,"1080,986"
2301901,"608,158"
2301950,"260,003"
2302008,"711,346"
2302057,"385,583"
2302107,"314,075"
2302206,"1596,751"
2302305,"842,106"
2302404,"2835,037"
2302503,"654,658"
2302602,"1120,452"
2302701,"1082,582"
2302800,"3032,39"
2302909,"226,549"
2303006,"926,271"
2303105,"755,597"
2303204,"634,179"
2303303,"1036,417"
2303402,"363,22"
2303501,"838,115"
2303600,"488,153"
2303659,"784,022"
2303709,"1223,246"
2303808,"729,97"
2303907,"237,248"
2303931,"815,268"
2303956,"296,431"
2304004,"750,332"
2304103,"2981,459"
2304202,"1138,15"
2304236,"696,348"
2304251,"335,921"
2304269,"471,134"
2304277,"362,906"
2304285,"78,818"
2304301,"530,54"
2304350,"568,778"
2304400,"312,353"
2304459,"285,024"
2304509,"210,284"
2304608,"230,371"
2304657,"258,942"
2304707,"2663,174"
2304806,"111,528"
2304905,"155,681"
2304954,"256,053"
2305001,"624,606"
2305100,"90,817"
2305209,"926,587"
2305233,"160,557"
2305266,"879,255"
2305308,"414,092"
2305332,"423,856"
2305357,"421,44"
2305407,"1865,862"
2305506,"992,208"
2305605,"3222,381"
2305654,"704,773"
2305704,"276,508"
2305803,"626,049"
2305902,"1483,258"
2306009,"839,174"
2306108,"1466,412"
2306207,"213,604"
2306256,"153,686"
2306306,"432,188"
2306405,"1600,358"
2306504,"593,231"
2306553,"714,833"
2306603,"829,626"
2306702,"1826,826"
2306801,"622,963"
2306900,"1877,062"
2307007,"854,362"
2307106,"544,98"
2307205,"368,359"
2307254,"209,029"
2307304,"258,788"
2307403,"940,336"
2307502,"945,263"
2307601,"744,525"
2307635,"997,781"
2307650,"105,071"
2307700,"583,505"
2307809,"573,61"
2307908,"303,445"
2308005,"567,78"
2308104,"1079,011"
2308203,"151,651"
2308302,"579,097"
2308351,"502,137"
2308377,"708,678"
2308401,"613,317"
2308500,"2115,748"
2308609,"892,538"
2308708,"2763,971"
2308807,"414,446"
2308906,"411,586"
2309003,"192,19"
2309102,"97,951"
2309201,"282,584"
2309300,"736,911"
2309409,"947,44"
2309458,"763,075"
2309508,"577,526"
2309607,"250,304"
2309706,"133,236"
2309805,"112,433"
2309904,"88,355"
2310001,"436,98"
2310100,"128,896"
2310209,"304,734"
2310258,"289,231"
2310308,"2313,868"
2310407,"539,238"
2310506,"1302,081"
2310605,"150,536"
2310704,"1379,836"
2310803,"435,868"
2310852,"74,033"
2310902,"589,601"
2310951,"244,464"
2311009,"1310,771"
2311108,"224,86"
2311207,"343,264"
2311231,"409,137"
2311264,"1041,832"
2311306,"2020,586"
2311355,"605,345"
2311405,"3324,987"
2311504,"613,099"
2311603,"247,989"
2311702,"372,949"
2311801,"1611,091"
2311900,"1381,274"
2311959,"806,253"
2312007,"972,573"
2312106,"855,165"
2312205,"4262,298"
2312304,"350,847"
2312403,"842,635"
2312502,"279,451"
2312601,"122,865"
2312700,"956,882"
2312809,"424,642"
2312908,"2068,474"
2313005,"1535,855"
2313104,"849,145"
2313203,"2014,543"
2313252,"412,719"
2313302,"4010,618"
2313351,"758,707"
2313401,"909,853"
2313500,"928,725"
2313559,"201,27"
2313609,"423,673"
2313708,"263,183"
